URL,Version,Status,OIDs,Name,Title,Description,Used
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-armazenamento-defensivos,0.1.0,active,,AgroSUSArmazenamentoDefensivosCS,Armazenamento de defensivos agrícolas AgroSUS,"Terminologia dos locais utilizados para armazenamento de defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-assistencia-tecnica,0.1.0,draft,,AgroSUSAssistenciaTecnicaCS,Assistência Técnica AgroSUS,"Códigos relacionados à assistência e à responsabilidade técnica na produção rural.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-avaliacao-boas-praticas,0.1.0,active,,AgroSUSAvaliacaoBoasPraticasCS,Avaliação de boas práticas agrícolas AgroSUS,"Terminologia utilizada para avaliar o atendimento aos indicadores de boas práticas agrícolas no formulário AgroSUS.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-capacitacao,0.1.0,draft,,AgroSUSCapacitacaoCS,Temas de Capacitação AgroSUS,"Temas abordados em capacitações sobre o uso seguro de defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-categoria-plano-cuidado,0.1.0,active,,AgroSUSCategoriaPlanoCuidadoCS,Categorias de Plano de Cuidado AgroSUS,"Categorias utilizadas para classificar os planos longitudinais de acompanhamento do trabalhador rural.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-classificacao-toxicologica,0.1.0,draft,,AgroSUSClassificacaoToxicologicaCS,Classificação Toxicológica de Defensivos Agrícolas,"Representação FHIR das categorias de classificação toxicológica estabelecidas pela Anvisa.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-condicoes-sintomas,0.1.0,active,,AgroSUSCondicoesSintomasCS,Condições de saúde e sintomas AgroSUS,"Terminologia dos itens de condições de saúde e sintomas referidos no formulário de anamnese AgroSUS. Os códigos representam respostas do instrumento e não diagnósticos clínicos confirmados.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-destinacao-embalagens,0.1.0,active,,AgroSUSDestinacaoEmbalagensCS,Destinação de embalagens vazias AgroSUS,"Terminologia das formas de destinação de embalagens vazias de defensivos agrícolas quando não são devolvidas em local autorizado.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-epi,0.1.0,active,,AgroSUSEPICS,Terminologia de equipamentos de proteção individual AgroSUS,"Terminologia para frequência de uso, armazenamento e motivos de não utilização dos equipamentos de proteção individual.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-escolaridade,0.1.0,draft,,AgroSUSEscolaridadeCS,Escolaridade AgroSUS,"Categorias de escolaridade utilizadas no formulário de anamnese AgroSUS.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-exposicao,0.1.0,active,,AgroSUSExposicaoCS,Terminologia de exposição ocupacional AgroSUS,"Terminologia das características de frequência e forma de exposição aos defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-exposicao-familiar,0.1.0,active,,AgroSUSExposicaoFamiliarCS,Exposição familiar AgroSUS,"Terminologia para identificar familiares que auxiliam na aplicação de defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-historico-intoxicacao,0.1.0,active,,AgroSUSHistoricoIntoxicacaoCS,Histórico de intoxicação AgroSUS,"Terminologia para registrar a quantidade autorreferida de episódios anteriores de intoxicação aguda por defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-prioridade-alerta,0.1.0,draft,,AgroSUSPrioridadeAlertaCS,Prioridade de Alerta AgroSUS,"Níveis de prioridade clínica para os alertas gerados pela lógica de decisão do AgroSUS (colinesterase alterada, sintoma agudo, produto categoria 1/2 sem EPI, histórico de intoxicação).",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-propriedade,0.1.0,draft,,AgroSUSPropriedadeCS,Terminologia da Propriedade Rural AgroSUS,"Códigos utilizados para caracterizar propriedades rurais no formulário AgroSUS.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-rastreabilidade,0.1.0,active,,AgroSUSRastreabilidadeCS,Rastreabilidade das aplicações AgroSUS,"Terminologia utilizada para identificar onde são armazenados os registros das aplicações de defensivos agrícolas.",
https://jefersonrl.github.io/AgroSUS-FHIR/CodeSystem/agrosus-tipo-coleta,0.1.0,draft,,AgroSUSTipoColetaCS,Tipos de Coleta AgroSUS,"Modalidades de aplicação do formulário de anamnese ocupacional e ambiental do AgroSUS.",
